Disease_Name,Crop_Host(s),Min_Optimal_Temp,Max_Optimal_Temp,Min_Optimal_Humidity,Max_Optimal_Humidity,Min_Rainfall_mm,Max_Rainfall_mm,Min_Soil_Moisture,Max_Soil_Moisture,Soil_pH_Preference,Other_Factors
Halo Blight (Pseudomonas savastanoi pv. phaseolicola),Kidney Bean;Common Bean,16,20,85,95,15,30,45,75,6.0-7.5,"Cool temperatures; High humidity; Rain splash; Wind; Infected seed/debris"
Root Rot Complex (Fusarium solani f.sp. phaseoli; Pythium spp.; Rhizoctonia solani),Kidney Bean;Common Bean;Soybean;Pea,20,30,75,95,15,35,50,85,5.5-7.0,"Poor drainage; Soil compaction; Plant stress; Infected soil or debris; Different optima for each pathogen"
Bean Common Mosaic Virus (BCMV),Kidney Bean;Common Bean;Adzuki Bean;Soybean,20,30,50,80,5,25,30,65,6.0-7.5,"Aphid vector presence; Infected seed; Temperature influencing aphid activity/virus replication"
Head Smut (Sporisorium paspali-thunbergii),Kodo Millet;Related Paspalum grasses,25,30,70,90,10,25,40,70,5.5-7.5,"Warm temperatures during flowering; Replaces inflorescence with large smut gall; Soilborne spores infect seedlings"
Tar Spot (Phyllachora paspalicola),Kodo Millet;Related Paspalum grasses,20,28,85,95,15,35,45,75,5.5-7.5,"Warm, humid conditions; Rain splash; Causes black, tar-like spots on leaves"
Ergot (Claviceps paspali),Kodo Millet;Dallisgrass (Paspalum dilatatum),20,25,90,100,15,30,50,80,5.5-7.5,"Cool, wet weather during flowering; Replaces seeds with sclerotia (ergots); Produces sticky honeydew"
Downy Mildew (Hyaloperonospora parasitica),Kohlrabi;Cabbage;Broccoli;Cauliflower,10,18,90,100,10,30,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential for infection; Splashing water; Wind dispersal"
Black Rot (Xanthomonas campestris pv. campestris),Kohlrabi;Cabbage;Broccoli;Other Brassicas,25,30,85,95,15,35,45,75,6.0-7.5,"Warm, wet conditions; Rain splash; Wind; Spread via infected seed, transplants, debris; Enters through hydathodes"
Alternaria Leaf Spot (Alternaria brassicicola/brassicae),Kohlrabi;Cabbage;Broccoli;Other Brassicas,20,30,85,98,15,35,40,70,5.5-7.0,"Moderate to warm temperatures; High humidity; Leaf wetness duration > 8 hours; Plant stress; Infected debris/seed"
Clubroot (Plasmodiophora brassicae),Kohlrabi;Cabbage;Broccoli;Other Brassicas;Weeds,18,25,80,95,15,35,50,85,5.0-6.5,"Cool, wet soils; Acidic soil strongly favors disease; Soilborne pathogen; Long survival of resting spores"
Root Rot (Phytophthora spp.; Pythium spp.),Lavender,15,25,80,95,15,35,55,90,6.0-7.5,"Poor drainage; Overwatering; Heavy soils; Cool to moderate temperatures"
Shab Disease (Phomopsis lavandulae),Lavender,20,25,80,95,10,30,40,70,6.0-7.5,"Moderate temperatures; Wet conditions; Causes dieback of shoots/stems; Overwinters on infected stems"
Septoria Leaf Spot (Septoria lavandulae),Lavender,18,24,85,95,10,30,40,70,6.0-7.5,"Moderate temperatures; Wet weather; Rain splash; Overwinters on debris"
Alfalfa Mosaic Virus (AMV),Lavender;Alfalfa;Potato;Tomato;Pepper (Wide Host Range),20,28,50,80,5,25,30,65,6.0-7.5,"Aphid vector presence; Mechanical transmission; Seed transmission in some hosts"
White Rot (Sclerotium cepivorum),Leek;Onion;Garlic;Chive,15,20,80,95,10,25,50,80,5.0-7.0,"Cool soil temperatures; Soilborne sclerotia (long survival); High soil moisture favors sclerotia germination; Very persistent"
Rust (Puccinia allii / P. porri),Leek;Garlic;Onion;Chive,18,25,85,95,10,25,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew required for spore germination; Wind dispersal; Affects leaves"
Downy Mildew (Peronospora destructor),Leek;Onion;Shallot;Garlic,10,18,90,100,10,25,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential (dew, rain); Wind dispersal"
Purple Blotch (Alternaria porri),Leek;Onion,21,30,90,100,15,30,50,80,5.5-7.0,"Warm temperatures; High humidity; Leaf wetness (dew, rain); Plant stress; Often follows other injury (thrips, ozone)"
Rust (Puccinia nakanishikii / P. cymbopogonis),Lemon Grass;Related Cymbopogon spp.,20,28,85,95,10,30,40,70,5.5-7.0,"Warm, humid conditions; Dew or rain for infection; Wind dispersal"
Leaf Spot/Blight (Curvularia spp.; Colletotrichum graminicola),Lemon Grass;Other Grasses,25,32,85,95,15,35,45,75,5.5-7.0,"Warm, humid conditions; Leaf wetness; Plant stress"
Smut (Tolyposporium christensenii),Lemon Grass,25,30,70,90,10,25,40,70,5.5-7.0,"Warm temperatures during flowering; Replaces florets with smut sori"
Ascochyta Blight (Ascochyta lentis / A. fabae f.sp. lentis),Lentil,15,20,85,100,10,30,45,75,6.0-8.0,"Cool, cloudy, humid weather; Frequent light rain; Leaf wetness duration (critical); Seedborne/stubble-borne; Wind/rain splash"
Anthracnose (Colletotrichum truncatum),Lentil;Soybean;Bean,20,28,90,100,15,30,45,75,5.5-7.0,"Warm, wet conditions; High humidity; Rain splash; Seedborne/residue-borne; Affects stems (lesions), leaves, pods"
Fusarium Wilt (Fusarium oxysporum f.sp. lentis),Lentil,20,25,70,90,10,25,40,80,6.0-8.0,"Moderate soil temperatures; Soilborne; Persists in soil for years; Plant stress can increase severity"
Rust (Uromyces viciae-fabae),Lentil;Fava Bean;Vetch,18,25,85,95,10,25,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew required for infection; Wind dispersal"
Botrytis Gray Mold (BGM - Botrytis cinerea),Lentil;Chickpea;Faba Bean;Many Crops,18,24,90,100,15,35,50,80,6.0-7.5,"Cool, moist conditions during flowering/podding; High humidity; Dense canopy; Poor air circulation"
Downy Mildew (Bremia lactucae),Lettuce;Endive;Chicory,15,20,90,100,5,20,50,80,6.0-7.5,"Cool, moist conditions; Leaf wetness essential (dew, fog, rain); Airborne spores; Overwinters in debris/seed/wild hosts"
Sclerotinia Drop / White Mold (Sclerotinia sclerotiorum/minor),Lettuce;Bean;Carrot;Cabbage;Many Broadleaf Crops,15,24,90,100,15,35,60,90,5.5-7.0,"Cool, moist conditions; High humidity near soil surface; Soilborne sclerotia (S. minor direct infection, S. sclerotiorum apothecia); Dense canopy"
Bottom Rot (Rhizoctonia solani),Lettuce;Cabbage;Celery,20,28,85,95,10,30,55,85,6.0-7.5,"Warm, moist soil; High humidity near soil surface; Soilborne; Affects lower leaves/stem contacting soil"
Bacterial Leaf Spot (Xanthomonas campestris pv. vitians),Lettuce,20,28,85,95,15,35,45,75,6.0-7.5,"Warm, wet conditions; Rain splash; Overhead irrigation; Infected seed/transplants; Enters through stomata"
Lettuce Mosaic Virus (LMV),Lettuce;Endive;Spinach;Pea,20,30,50,80,5,25,30,65,6.0-7.5,"Aphid vector presence (non-persistent); Seedborne (major source); Temperature affects aphid activity"
Downy Mildew (Phytophthora phaseoli),Lima Bean,18,22,95,100,15,30,55,85,6.0-7.0,"Cool, very humid conditions; Pods highly susceptible; Rain splash; Overwinters as oospores in soil/debris"
Pod Blight (Diaporthe phaseolorum / Phomopsis longicolla),Lima Bean;Soybean,25,30,85,95,15,35,45,75,5.5-7.0,"Warm, wet weather during pod fill; Rain splash; Infected seed/debris; High humidity"
Root Rot Complex (Fusarium solani f.sp. phaseoli; Pythium spp.; Rhizoctonia solani),Lima Bean;Common Bean;Soybean,20,30,75,95,15,35,50,85,5.5-7.0,"Poor drainage; Soil compaction; Plant stress; Infected soil or debris"
Bean Common Mosaic Virus (BCMV),Lima Bean;Common Bean;Adzuki Bean,20,30,50,80,5,25,30,65,6.0-7.5,"Aphid vector presence; Infected seed; Temperature influencing aphid activity"
Bacterial Blight (Xanthomonas axonopodis pv. phaseoli),Lima Bean;Common Bean,25,32,85,98,20,40,40,75,6.0-7.5,"Warm, humid weather; Rain splash; Wind-driven rain; Overhead irrigation; Infected seed"
Downy Mildew / Witches' Broom (Peronophythora litchii),Longan;Lychee,20,25,95,100,25,50,55,85,5.0-6.5,"Cooler temperatures within range; Very high humidity/rain; Affects flowers, young fruit, new shoots (brooming)"
Anthracnose (Colletotrichum gloeosporioides),Longan;Lychee;Mango;Avocado,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Affects flowers, fruit (rot), leaves, twigs (dieback)"
Fruit Rot (Lasiodiplodia theobromae; Pestalotiopsis spp.),Longan;Lychee,25,32,85,95,15,35,45,75,5.5-7.0,"Warm, humid conditions; Fruit injury; Post-harvest issue primarily, but infection can start earlier"
Leaf Spot (Pestalotiopsis spp.; Phomopsis spp.),Longan;Lychee,22,30,80,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; Rain splash; Plant stress; Poor air circulation"
Fire Blight (Erwinia amylovora),Loquat;Apple;Pear;Quince,18,29,70,90,10,30,35,65,5.5-7.5,"Warm, humid weather during bloom; Rain; Hail; Insect vectors; Splashing water; Affects blossoms, shoots, fruit"
Scab (Fusicladium eriobotryae / Venturia eriobotryae),Loquat;Pear,16,24,90,100,10,30,40,70,5.5-7.0,"Cool, wet spring; Leaf/fruit wetness duration; Rain splash; Overwinters on infected twigs/leaves"
Leaf Spot (Diplocarpon mespili / Fabraea maculata),Loquat;Pear;Quince,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; Wet weather; Rain splash; Overwinters on fallen leaves"
Fruit Rot (Colletotrichum gloeosporioides; Botrytis cinerea),Loquat,20,30,85,100,15,35,50,80,5.5-7.0,"Warm, humid (Colletotrichum) or cool, moist (Botrytis); Rain; Fruit injury; High humidity"
Leaf Spot (Alternaria nelumbii; Cercospora spp.),Lotus,22,30,80,95,15,35,50,80,6.0-7.5,"Warm, humid conditions; Leaf wetness; Rain splash; Affects leaves floating on water"
Rhizome Rot (Pythium spp.; Fusarium spp.),Lotus,20,30,85,95,15,35,60,90,6.0-7.5,"Poor water quality; Injury to rhizomes; Anaerobic conditions in substrate; Waterlogged substrate"
Blight (Phytophthora spp.; Colletotrichum spp.),Lotus,24,30,90,100,20,40,55,85,6.0-7.5,"Warm, wet conditions; High humidity; Affects leaves, petioles, flowers causing rapid collapse"
Powdery Mildew (Podosphaera xanthii / Golovinomyces cichoracearum),Luffa Gourd;Cucumber;Squash,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate to high humidity (not free water); Poor air circulation; Reduced light"
Downy Mildew (Pseudoperonospora cubensis),Luffa Gourd;Cucumber;Squash,15,23,85,100,10,30,50,80,6.0-7.0,"High humidity; Leaf wetness essential (dew, rain); Cool nights, warm days; Wind dispersal"
Anthracnose (Colletotrichum lagenarium/orbiculare),Luffa Gourd;Cucumber;Watermelon,22,28,90,100,15,35,50,80,5.5-6.5,"Warm, humid, rainy weather; Rain splash; Infected seed or debris; Leaf wetness duration"
Gummy Stem Blight (Didymella bryoniae),Luffa Gourd;Cucumber;Squash,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity; Leaf wetness; Rain splash; Infected seed/debris; Wounds"
Anthracnose (Colletotrichum gloeosporioides),Lychee;Longan;Mango;Avocado,24,30,85,98,20,40,50,80,5.0-6.5,"Warm, humid conditions; Rain splash; Affects flowers, fruit (rot), leaves, twigs (dieback)"
Downy Blight / Brown Blight (Peronophythora litchii),Lychee;Longan,20,25,95,100,25,50,55,85,5.0-6.5,"Cooler temperatures within range; Very high humidity/rain; Affects flowers, young fruit, new shoots"
Fruit Rot (Lasiodiplodia theobromae; Pestalotiopsis spp.; Alternaria alternata),Lychee;Longan,25,32,85,95,15,35,45,75,5.0-6.5,"Warm, humid conditions; Fruit injury; Post-harvest issue primarily, but infection can start earlier"
Leaf Spot / Tip Blight (Pestalotiopsis spp.; Colletotrichum spp.),Lychee,22,30,80,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; Rain splash; Plant stress; Poor air circulation"
Husk Spot (Pseudocercospora macadamiae),Macadamia Nut,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity; Rain splash; Affects developing husks"
Raceme Blight / Gray Mold (Botrytis cinerea; Cladosporium spp.),Macadamia Nut,18,24,90,100,15,35,50,80,5.5-7.0,"Cool, moist conditions during flowering; High humidity; Poor air circulation; Affects flowers (racemes)"
Stem Canker (Phytophthora cinnamomi),Macadamia Nut;Avocado;Pineapple,21,27,80,100,15,35,60,95,4.5-6.0,"Poor drainage; Waterlogged soils; Moderate soil temperatures; Soilborne; Affects trunk near soil line"
Anthracnose (Colletotrichum gloeosporioides),Macadamia Nut;Mango;Avocado,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Can affect leaves, flowers, nuts"
Gray Leaf Spot (Cercospora zeae-maydis),Maize (Corn),22,30,85,100,15,35,50,80,5.5-7.5,"Warm temperatures; High humidity; Long periods of leaf wetness (dew); Overwinters on residue"
Northern Corn Leaf Blight (NCLB - Exserohilum turcicum / Setosphaeria turcica),Maize (Corn),18,27,90,100,15,35,50,80,5.5-7.5,"Moderate temperatures; High humidity; Long periods of leaf wetness (dew); Overwinters on residue; Wind/rain splash"
Common Rust (Puccinia sorghi),Maize (Corn),16,25,95,100,10,30,45,75,6.0-7.5,"Cool to moderate temperatures; High humidity/dew essential for infection; Wind dispersal; Alternate host Oxalis"
Goss's Wilt and Blight (Clavibacter michiganensis subsp. nebraskensis),Maize (Corn),24,27,80,95,10,30,40,70,6.0-7.5,"Moderate to warm temperatures; High humidity; Wounds (hail, wind, insects); Overwinters on residue/seed"
Stalk Rot Complex (Gibberella zeae; Fusarium verticillioides; Diplodia maydis; etc.),Maize (Corn),25,32,80,95,15,35,50,85,5.5-7.5,"Varies by fungus; Stress conditions (drought, nutrient imbalance, insect damage); High humidity; Residue-borne"
Leaf Spot (Cercospora spp.; Alternaria spp.),Malabar Spinach,25,30,85,95,15,35,40,75,6.0-7.5,"Warm, humid conditions; Rain splash; Leaf wetness; Poor air circulation"
Root Rot (Pythium spp.; Rhizoctonia solani),Malabar Spinach,20,30,75,95,15,35,50,85,6.0-7.5,"Poor drainage; Overwatering; Infected soil; Heavy soils"
Damping-off (Pythium spp.; Rhizoctonia solani),Malabar Spinach;Many Seedlings,18,25,85,100,10,30,60,90,6.0-7.5,"Cool, wet soil; Poor drainage; High soil moisture; Infected soil/media; Overcrowding"
Anthracnose (Colletotrichum gloeosporioides),Mango;Avocado;Papaya;Guava,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Affects flowers (blight), fruit (rot), leaves, twigs (dieback)"
Powdery Mildew (Oidium mangiferae),Mango,20,30,70,90,5,20,35,65,6.0-7.5,"Moderate temperatures; High humidity (dew) favors infection, but dry conditions for spore dispersal; Affects flowers, young fruit, leaves"
Bacterial Black Spot / Bacterial Canker (Xanthomonas campestris pv. mangiferaeindicae),Mango,25,30,85,95,15,35,45,75,5.5-7.0,"Warm, wet, windy conditions; Rain splash; Enters through wounds/stomata; Affects leaves, fruit, stems"
Dieback / Stem-end Rot (Lasiodiplodia theobromae; Phomopsis spp.),Mango;Avocado;Citrus,28,35,75,95,10,30,40,70,5.5-7.0,"Plant stress (drought, waterlogging); High temperatures; High humidity; Wounds; Affects twigs, branches, fruit (post-harvest)"
Mango Malformation (Fusarium mangiferae/sterilihyphosum),Mango,20,25,70,85,10,25,40,70,5.5-7.0,"Moderate temperatures; Vector (mites?) suspected but complex etiology; Affects vegetative buds and panicles"
Anthracnose (Colletotrichum gloeosporioides),Mangosteen;Mango;Avocado,24,30,85,98,20,40,50,80,4.5-6.0,"Warm, humid conditions; Rain splash; Affects fruit (rot), leaves"
Stem Canker / Root Rot (Phytophthora spp.),Mangosteen;Cacao;Durian,22,28,90,100,25,50,60,90,4.5-6.0,"High humidity; Frequent rainfall; Waterlogged soil; Wounds on trunk/roots; Soilborne"
Fruit Rot (Diplodia theobromae / Lasiodiplodia theobromae),Mangosteen;Mango;Avocado,28,35,80,95,15,35,45,75,4.5-6.0,"High temperatures; High humidity; Often affects fruit near harvest or post-harvest; Enters through wounds/stem end"
Leaf Spot (Pestalotiopsis flagisettula),Mangosteen,25,30,85,95,15,35,40,75,4.5-6.0,"Warm, humid conditions; Rain splash; Plant stress"
Rust (Puccinia menthae var. menthae),Marjoram;Mint;Oregano,18,25,85,95,10,25,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew required for spore germination; Wind dispersal"
Downy Mildew (Peronospora spp.),Marjoram;Basil;Related Lamiaceae,10,20,90,100,10,30,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness; Similar to basil downy mildew"
Root Rot (Pythium spp.; Rhizoctonia solani),Marjoram;Mint;Many Herbs,18,28,80,95,15,35,55,90,6.0-7.5,"Poor drainage; Overwatering; Infected soil or pots"
Leaf Spot / Blight (Bipolaris spp.; Curvularia spp.; Cercospora spp.),Millet (Various species),25,32,85,95,15,35,45,75,5.5-7.0,"Warm, humid conditions; Leaf wetness; Plant stress; Overwinters on seed/debris"
Rust (Puccinia menthae),Mint;Marjoram;Oregano,18,25,85,95,10,25,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew required for spore germination; Wind dispersal; Affects leaves, stems"
Powdery Mildew (Erysiphe spp. / Golovinomyces spp.),Mint,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation"
Verticillium Wilt (Verticillium dahliae / V. albo-atrum),Mint;Potato;Tomato;Strawberry (Wide Host Range),21,27,70,90,10,25,40,75,6.0-7.5,"Soilborne fungus; Favored by cool to moderate temperatures; Persists in soil; Spread via infected planting stock"
Anthracnose (Sphaceloma menthae),Mint,20,28,85,95,15,35,45,75,6.0-7.5,"Moderate temperatures; Wet weather; Rain splash; Overwinters on infected rhizomes/debris; Causes leaf spots, stem lesions"
Twig Canker / Dieback (Lasiodiplodia theobromae),Moringa (Drumstick);Mango;Cashew,28,35,75,95,10,30,40,70,5.5-7.5,"Plant stress (drought); High temperatures; High humidity; Wounds"
Powdery Mildew (Oidium spp. / Erysiphe polygoni),Moringa (Drumstick),25,30,70,90,5,20,35,65,6.0-7.5,"Dry conditions with high relative humidity (dew); Affects leaves, flowers, pods"
Root Rot (Fusarium solani; Pythium spp.; Rhizoctonia solani),Moringa (Drumstick),20,30,75,95,15,35,50,85,5.5-7.0,"Poor drainage; Waterlogged soil; Overwatering; Infected soil"
Leaf Spot (Cercospora moringae / Pseudocercospora moringae),Moringa (Drumstick),25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; Rain splash; Leaf wetness; Poor air circulation"
Yellow Mosaic Virus (MYMV - Mungbean Yellow Mosaic Virus),Moth Bean;Mung Bean;Black Gram;Soybean,25,32,60,85,10,30,35,70,6.0-7.5,"Vector presence (Whitefly - Bemisia tabaci); Warm temperatures favor vector; Infected source plants"
Leaf Spot (Cercospora spp.; Alternaria spp.),Moth Bean,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; Rain splash; Leaf wetness; Poor air circulation"
Powdery Mildew (Erysiphe polygoni),Moth Bean;Legumes,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation; Dense canopy"
Root Rot Complex (Rhizoctonia solani; Fusarium spp.; Macrophomina phaseolina),Moth Bean;Other Legumes,25,35,70,90,10,30,40,80,5.5-7.0,"High temperatures (Macrophomina); Poor drainage; Plant stress (drought); Infected soil/debris"
Leaf Spot (Cercospora moricola; Mycosphaerella mori),Mulberry,20,28,85,95,15,30,45,75,5.5-7.5,"Moderate to warm temperatures; High humidity; Rain splash; Overwinters on fallen leaves"
Powdery Mildew (Phyllactinia corylea),Mulberry,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation"
Bacterial Blight (Pseudomonas syringae pv. mori),Mulberry,15,25,85,95,15,35,45,75,6.0-7.0,"Cool, wet spring weather; Rain splash; Wind; Enters through wounds, stomata"
Root Rot (Rosellinia necatrix; Fusarium spp.),Mulberry,20,30,75,95,15,35,50,85,5.5-7.0,"Poor drainage; Soil compaction; Tree stress; Infected soil/roots"
Yellow Mosaic Virus (MYMV - Mungbean Yellow Mosaic Virus),Mung Bean;Black Gram (Vigna mungo);Soybean;Moth Bean,25,32,60,85,10,30,35,70,6.0-7.5,"Vector presence (Whitefly - Bemisia tabaci); Warm temperatures favor vector; Infected source plants"
Cercospora Leaf Spot (Cercospora canescens/cruenta),Mung Bean;Black Gram (Vigna mungo);Cowpea,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; High humidity; Rain splash; Dew; Infected seed or debris"
Powdery Mildew (Erysiphe polygoni),Mung Bean;Black Gram (Vigna mungo);Pea;Soybean,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation; Dense canopy"
Anthracnose (Colletotrichum lindemuthianum/truncatum),Mung Bean;Common Bean;Soybean;Black Gram (Vigna mungo),18,26,90,100,15,30,40,75,5.5-7.0,"Cool to moderate temperatures; Wet conditions; Rain splash; Infected seed; Dense canopy; High humidity"
Bacterial Leaf Blight (Xanthomonas axonopodis pv. vignaeradiatae),Mung Bean;Black Gram (Vigna mungo),25,32,85,98,20,40,40,75,6.0-7.5,"Warm, humid weather; Rain splash; Wind-driven rain; Infected seed"
Wet Bubble (Mycogone perniciosa),Mushroom (Agaricus bisporus),16,18,90,98,0,5,80,95,6.5-7.5,"Cooler temperatures; Very high humidity; Spread via contaminated casing soil, water splash, workers"
Dry Bubble / Verticillium Disease (Verticillium fungicola),Mushroom (Agaricus bisporus),18,22,85,95,0,5,75,90,6.5-7.5,"Moderate temperatures; High humidity; Airborne spores; Spread via contaminated casing, workers, flies"
Cobweb Disease (Cladobotryum spp. / Hypomyces spp.),Mushroom (Agaricus bisporus),20,25,95,100,0,5,80,95,6.5-7.5,"Warm temperatures; Very high humidity; Rapid growth over casing/mushrooms; Airborne spores; Spread via workers"
Bacterial Blotch (Pseudomonas tolaasii),Mushroom (Agaricus bisporus),18,25,95,100,0,5,85,98,6.5-7.5,"High humidity; Persistent water film on mushroom caps (>3 hours); Spread via water splash, flies, workers"
Powdery Mildew (Podosphaera xanthii / Golovinomyces cichoracearum),Muskmelon (Cantaloupe);Cucumber;Squash,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate to high humidity (not free water); Poor air circulation; Reduced light"
Downy Mildew (Pseudoperonospora cubensis),Muskmelon (Cantaloupe);Cucumber;Squash,15,23,85,100,10,30,50,80,6.0-7.0,"High humidity; Leaf wetness essential (dew, rain); Cool nights, warm days; Wind dispersal (long distances)"
Fusarium Wilt (Fusarium oxysporum f.sp. melonis),Muskmelon (Cantaloupe);Honeydew,24,30,70,90,10,25,40,80,6.5-7.5,"Warm soil temperatures; Soilborne; Persists in soil for years; Acidic soils may favor"
Gummy Stem Blight / Black Rot (Didymella bryoniae / Phoma cucurbitacearum),Muskmelon (Cantaloupe);Cucumber;Squash,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity; Leaf wetness; Rain splash; Infected seed/debris; Wounds"
Anthracnose (Colletotrichum lagenarium/orbiculare),Muskmelon (Cantaloupe);Cucumber;Watermelon,22,28,90,100,15,35,50,80,5.5-6.5,"Warm, humid, rainy weather; Rain splash; Infected seed or debris; Leaf wetness duration"
White Rust (Albugo candida),Mustard;Radish;Arugula;Other Brassicas,12,22,85,95,10,25,40,70,6.0-7.5,"Cool, moist weather; Dew or fog; Leaf wetness; Can be systemic or cause local lesions (leaves, stems, flowers)"
Alternaria Black Spot (Alternaria brassicae/brassicicola),Mustard;Canola;Cabbage;Other Brassicas,20,30,85,98,15,35,40,70,5.5-7.0,"Moderate to warm temperatures; High humidity; Leaf wetness duration > 8 hours; Plant stress; Infected debris/seed"
Downy Mildew (Hyaloperonospora parasitica),Mustard;Canola;Radish;Other Brassicas,10,18,90,100,10,30,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential for infection; Splashing water; Wind dispersal"
Sclerotinia Stem Rot / White Mold (Sclerotinia sclerotiorum),Mustard;Canola;Sunflower;Bean;Many Broadleaf Crops,15,25,90,100,20,40,60,90,5.5-7.0,"Cool, moist conditions during flowering; High humidity; Dense canopy; Soilborne sclerotia germinate to produce apothecia"
Clubroot (Plasmodiophora brassicae),Mustard;Cabbage;Canola;Other Brassicas;Weeds,18,25,80,95,15,35,50,85,5.0-6.5,"Cool, wet soils; Acidic soil strongly favors disease; Soilborne pathogen; Long survival of resting spores"
Fruit Rot / Anthracnose (Colletotrichum gloeosporioides),Nutmeg,24,30,85,98,20,40,50,80,5.0-6.5,"Warm, humid conditions; High rainfall; Affects fruit (mace and nut)"
Thread Blight (Marasmiellus scandens / Corticium spp.),Nutmeg;Clove;Cocoa,25,30,95,100,30,60,55,85,5.0-6.5,"High humidity; High rainfall; Shade; Overcrowding; Forms white mycelial threads over leaves/twigs"
Crown Rust (Puccinia coronata),Oats;Ryegrass;Buckthorn (alternate host),18,25,95,100,10,25,45,75,5.5-7.5,"Moderate temperatures; High humidity/dew essential for infection; Wind dispersal; Buckthorn needed for sexual cycle"
Stem Rust (Puccinia graminis f.sp. avenae),Oats;Barberry (alternate host),20,30,95,100,10,25,45,75,5.5-7.5,"Warm temperatures; High humidity/dew essential for infection; Wind dispersal; Barberry needed for sexual cycle"
Barley Yellow Dwarf Virus (BYDV),Oats;Barley;Wheat;Maize;Grasses,15,25,50,80,5,25,30,65,6.0-7.5,"Aphid vector presence; Cool, moist conditions favor aphid populations; Temperature affects virus replication"
Powdery Mildew (Blumeria graminis f.sp. avenae),Oats,15,22,70,90,5,20,30,60,6.0-7.5,"Cool to moderate temperatures; High humidity (but not free water); Dense stands; High nitrogen fertilization"
Fusarium Head Blight / Scab (Fusarium graminearum/spp.),Oats;Wheat;Barley;Maize,25,30,85,95,15,35,45,75,5.5-7.5,"Warm, wet, humid conditions during flowering; Rain splash; Wind dispersal; Overwinters on crop residue"
Ganoderma Basal Stem Rot,Oil Palm;Coconut;Areca Nut;Acai Berry,27,35,80,95,10,30,50,85,5.0-7.5,"Older palms; Tree stress (drought, lightning); Wounds near base; Poor drainage; Soilborne; Major disease"
Fusarium Wilt (Fusarium oxysporum f.sp. elaeidis),Oil Palm,25,28,70,90,10,30,40,80,4.5-6.0,"Warm soil temperatures; Soilborne; Acidic soils may favor; Persists in soil; Spread via soil, roots, contaminated tools"
Bud Rot / Spear Rot (Phytophthora palmivora; Erwinia spp.),Oil Palm;Coconut,22,28,95,100,30,60,60,90,5.0-6.5,"High rainfall; High humidity; Waterlogging; Wind-driven rain/insects carrying inoculum to bud area; Can be complex of pathogens"
Leaf Spot / Anthracnose (Pestalotiopsis spp.; Colletotrichum spp.),Oil Palm;Coconut,25,30,85,95,15,35,40,75,5.5-7.0,"Humid conditions; Rain splash; Plant stress (nutrient deficiency); Affects nursery seedlings and field palms"
Fusarium Wilt (Fusarium oxysporum f.sp. vasinfectum),Okra;Cotton,25,30,70,90,10,25,40,80,6.0-7.5,"Warm soil temperatures; Soilborne; Often associated with root-knot nematodes; Persists in soil"
Powdery Mildew (Erysiphe cichoracearum / Podosphaera xanthii),Okra;Cucurbits,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation"
Yellow Vein Mosaic Virus (YVMV - Begomovirus),Okra,25,35,60,85,10,30,35,70,6.0-7.5,"Vector presence (Whitefly - Bemisia tabaci); High temperatures favor vector; Infected source plants"
Cercospora Leaf Spot (Cercospora abelmoschi/malayensis),Okra,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; Rain splash; Dew; Infected seed or debris"
